State,HiresRate,HiresLevel,JobOpeningsRate,JobOpeningsLevel,QuitsRate,QuitsLevel,Latitude,Longitude
Alabama,4.2,91000,6.2,141000,3,64000,32.806671,-86.79113
Alaska,5.9,19000,7.7,27000,3.1,10000,61.370716,-152.404419
Arizona,4.4,138000,5.9,197000,2.8,87000,33.729759,-111.431221
Arkansas,4.4,59000,6.2,89000,3.5,47000,34.969704,-92.373123
California,3.4,606000,4.8,911000,2,363000,36.116203,-119.681564
Colorado,3.9,112000,6.3,194000,2.5,73000,39.059811,-105.311104
Connecticut,3.6,60000,5.8,104000,2,33000,41.597782,-72.755371
Delaware,5,24000,6.9,36000,3.1,15000,39.318523,-75.507141
District of Columbia,3.6,28000,5.7,47000,1.9,15000,38.897438,-77.026817
Florida,3.8,371000,6.5,671000,2.9,281000,27.766279,-81.686783
Georgia,4.9,237000,7.5,395000,3.2,154000,33.040619,-83.643074
Hawaii,3.8,24000,4.8,32000,2.2,14000,21.094318,-157.498337
Idaho,4.6,39000,6.2,56000,2.6,22000,44.240459,-114.478828
Illinois,3.9,237000,5.6,360000,2.2,132000,40.349457,-88.986137
Indiana,4.2,136000,5,171000,2.7,89000,39.849426,-86.258278
Iowa,3.6,58000,5.1,86000,2.4,39000,42.011539,-93.210526
Kansas,3.3,48000,4.6,70000,2.6,37000,38.5266,-96.726486
Kentucky,4.6,93000,6.7,144000,3.3,67000,37.66814,-84.670067
Louisiana,5.1,99000,7.3,153000,3.7,73000,31.169546,-91.867805
Maine,5,32000,6.5,45000,2.6,17000,44.693947,-69.381927
Maryland,4.3,117000,5.7,165000,3.6,98000,39.063946,-76.802101
Massachusetts,3.6,137000,6.8,273000,1.6,60000,42.230171,-71.530106
Michigan,3.7,163000,5.3,247000,2.2,98000,43.326618,-84.536095
Minnesota,3.7,111000,5.7,179000,2.3,69000,45.694454,-93.900192
Mississippi,4,47000,6.3,79000,3.1,36000,32.741646,-89.678696
Missouri,3.6,108000,5.2,164000,2.4,72000,38.456085,-92.288368
Montana,5.4,28000,6.5,36000,3.3,17000,46.921925,-110.454353
Nebraska,3.4,36000,5.1,56000,2.3,24000,41.12537,-98.268082
Nevada,4.6,71000,5.4,88000,2.7,41000,38.313515,-117.055374
New Hampshire,4.6,32000,6.5,49000,2.9,20000,43.452492,-71.563896
New Jersey,5,215000,5.4,246000,1.9,84000,40.298904,-74.521011
New Mexico,4.2,36000,6.4,59000,2.7,23000,34.840515,-106.248482
New York,3.2,313000,4.2,430000,1.7,165000,42.165726,-74.948051
North Carolina,3.9,189000,7.1,372000,2.4,119000,35.630066,-79.806419
North Dakota,4.4,19000,6.3,29000,2.3,10000,47.528912,-99.784012
Ohio,3.8,211000,5.7,339000,2.5,138000,40.388783,-82.764915
Oklahoma,4.4,76000,6.5,121000,3,52000,35.565342,-96.928917
Oregon,4.2,83000,5.7,120000,2.5,50000,44.572021,-122.070938
Pennsylvania,3.2,193000,6.1,398000,2.1,126000,40.590752,-77.209755
Rhode Island,4.8,24000,6,32000,2.6,13000,41.680893,-71.51178
South Carolina,4.5,102000,7.6,189000,3.3,75000,33.856892,-80.945007
South Dakota,4.3,20000,5.5,27000,2.4,11000,44.299782,-99.438828
Tennessee,4.5,149000,6.9,245000,3,100000,35.747845,-86.692345
Texas,4.4,605000,5.7,829000,2.7,369000,31.054487,-97.563461
Utah,4.3,74000,5.6,102000,2.4,41000,40.150032,-111.862434
Vermont,4.2,13000,6.1,20000,2.3,7000,44.045876,-72.710686
Virginia,4.5,188000,7.7,347000,3,125000,37.769337,-78.169968
Washington,3.3,121000,4.7,178000,2.2,79000,47.400902,-121.490494
West Virginia,5.4,38000,7.2,54000,3.4,24000,38.491226,-80.954453
Wisconsin,3.4,101000,5.4,171000,2.2,65000,44.268543,-89.616508
Wyoming,5.9,17000,6.5,20000,3.1,9000,42.755966,-107.30249
